,indulgence,individualism,uncertainty,shark_attacks,population,per_capita
usa,68,91,46,2229,329500,0.006764795144157815
australia,71,90,51,1338,25690,0.052082522382249904
south africa,63,65,49,579,59310,0.009762266059686393
new zealand,75,79,49,128,5084,0.025177025963808025
brazil,59,38,76,112,212600,0.0005268109125117591
mexico,97,30,82,90,128900,0.0006982156710628394
italy,30,76,75,71,59550,0.0011922753988245173
fiji,0,14,48,65,896,0.07254464285714286
philippines,42,32,44,62,109600,0.0005656934306569343
mozambique,80,15,44,45,31260,0.0014395393474088292
spain,44,51,86,44,47350,0.0009292502639915523
india,26,48,40,40,1380000,2.898550724637681e-05
egypt,0,37,55,40,102300,0.00039100684261974585
croatia,33,33,80,34,4047,0.008401284902396838
japan,42,46,92,34,125800,0.0002702702702702703
panama,0,11,86,32,4315,0.0074159907300115875
